Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,Day
94,2020-03-10,6:00 PM,Rajasthan,1,14,0,0,15,40
95,2020-03-10,6:00 PM,Tamil Nadu,1,0,0,0,1,40
96,2020-03-10,6:00 PM,Telengana,1,0,0,0,1,40
97,2020-03-10,6:00 PM,Jammu and Kashmir,1,0,0,0,1,40
98,2020-03-11,6:00 PM,Maharashtra,2,0,0,0,2,41
99,2020-03-11,6:00 PM,Delhi,5,0,0,0,5,41
100,2020-03-11,6:00 PM,Haryana,0,14,0,0,14,41
101,2020-03-11,6:00 PM,Kerala,17,0,3,0,17,41
102,2020-03-11,6:00 PM,Rajasthan,1,2,0,0,3,41
103,2020-03-11,6:00 PM,Telengana,1,0,0,0,1,41
104,2020-03-11,6:00 PM,Uttar Pradesh,9,0,0,0,9,41
105,2020-03-11,6:00 PM,Ladakh,2,0,0,0,2,41
106,2020-03-11,6:00 PM,Tamil Nadu,1,0,0,0,1,41
107,2020-03-11,6:00 PM,Jammu and Kashmir,1,0,0,0,1,41
108,2020-03-11,6:00 PM,Punjab,1,0,0,0,1,41
109,2020-03-11,6:00 PM,Karnataka,4,0,0,0,4,41
110,2020-03-12,6:00 PM,Delhi,6,0,0,0,6,42
111,2020-03-12,6:00 PM,Haryana,0,14,0,0,14,42
112,2020-03-12,6:00 PM,Kerala,17,0,3,0,17,42
113,2020-03-12,6:00 PM,Rajasthan,1,2,0,0,3,42
114,2020-03-12,6:00 PM,Telengana,1,0,0,0,1,42
115,2020-03-12,6:00 PM,Uttar Pradesh,10,1,0,0,11,42
116,2020-03-12,6:00 PM,Ladakh,3,0,0,0,3,42
117,2020-03-12,6:00 PM,Tamil Nadu,1,0,0,0,1,42
118,2020-03-12,6:00 PM,Jammu and Kashmir,1,0,0,0,1,42
119,2020-03-12,6:00 PM,Punjab,1,0,0,0,1,42
120,2020-03-12,6:00 PM,Karnataka,4,0,0,0,4,42
121,2020-03-12,6:00 PM,Maharashtra,11,0,0,0,11,42
122,2020-03-12,6:00 PM,Andhra Pradesh,1,0,0,0,1,42
123,2020-03-13,6:00 PM,Delhi,6,0,0,0,6,43
124,2020-03-13,6:00 PM,Haryana,0,14,0,0,14,43
125,2020-03-13,6:00 PM,Kerala,19,0,3,0,19,43
126,2020-03-13,6:00 PM,Rajasthan,1,2,0,0,3,43
127,2020-03-13,6:00 PM,Telengana,1,0,0,0,1,43
128,2020-03-13,6:00 PM,Uttar Pradesh,10,1,0,0,11,43
129,2020-03-13,6:00 PM,Ladakh,3,0,0,0,3,43
130,2020-03-13,6:00 PM,Tamil Nadu,1,0,0,0,1,43
131,2020-03-13,6:00 PM,Jammu and Kashmir,1,0,0,0,1,43
132,2020-03-13,6:00 PM,Punjab,1,0,0,0,1,43
133,2020-03-13,6:00 PM,Karnataka,6,0,0,1,6,43
134,2020-03-13,6:00 PM,Maharashtra,14,0,0,0,14,43
135,2020-03-13,6:00 PM,Andhra Pradesh,1,0,0,0,1,43
136,2020-03-14,6:00 PM,Delhi,7,0,1,1,7,44
137,2020-03-14,6:00 PM,Haryana,0,14,0,0,14,44
138,2020-03-14,6:00 PM,Kerala,19,0,3,0,19,44
139,2020-03-14,6:00 PM,Rajasthan,1,2,1,0,3,44
140,2020-03-14,6:00 PM,Telengana,1,0,0,0,1,44
141,2020-03-14,6:00 PM,Uttar Pradesh,11,1,5,0,12,44
142,2020-03-14,6:00 PM,Ladakh,3,0,0,0,3,44
143,2020-03-14,6:00 PM,Tamil Nadu,1,0,0,0,1,44
144,2020-03-14,6:00 PM,Jammu and Kashmir,2,0,0,0,2,44
145,2020-03-14,6:00 PM,Punjab,1,0,0,0,1,44
146,2020-03-14,6:00 PM,Karnataka,6,0,0,1,6,44
147,2020-03-14,6:00 PM,Maharashtra,14,0,0,0,14,44
148,2020-03-14,6:00 PM,Andhra Pradesh,1,0,0,0,1,44
149,2020-03-15,6:00 PM,Andhra Pradesh,1,0,0,0,1,45
150,2020-03-15,6:00 PM,Delhi,7,0,2,1,7,45
151,2020-03-15,6:00 PM,Haryana,0,14,0,0,14,45
152,2020-03-15,6:00 PM,Karnataka,6,0,0,1,6,45
153,2020-03-15,6:00 PM,Kerala,22,0,3,0,22,45
154,2020-03-15,6:00 PM,Maharashtra,32,0,0,0,32,45
155,2020-03-15,6:00 PM,Punjab,1,0,0,0,1,45
156,2020-03-15,6:00 PM,Rajasthan,2,2,3,0,4,45
157,2020-03-15,6:00 PM,Tamil Nadu,1,0,0,0,1,45
158,2020-03-15,6:00 PM,Telengana,3,0,1,0,3,45
159,2020-03-15,6:00 PM,Jammu and Kashmir,2,0,0,0,2,45
160,2020-03-15,6:00 PM,Ladakh,3,0,0,0,3,45
161,2020-03-15,6:00 PM,Uttar Pradesh,12,1,4,0,13,45
162,2020-03-15,6:00 PM,Uttarakhand,1,0,0,0,1,45
163,2020-03-16,6:00 PM,Andhra Pradesh,1,0,0,0,1,46
164,2020-03-16,6:00 PM,Delhi,7,0,2,1,7,46
165,2020-03-16,6:00 PM,Haryana,0,14,0,0,14,46
166,2020-03-16,6:00 PM,Karnataka,6,0,0,1,6,46
167,2020-03-16,6:00 PM,Kerala,23,0,3,0,23,46
168,2020-03-16,6:00 PM,Maharashtra,32,0,0,0,32,46
169,2020-03-16,6:00 PM,Odisha,1,0,0,0,1,46
170,2020-03-16,6:00 PM,Punjab,1,0,0,0,1,46
171,2020-03-16,6:00 PM,Rajasthan,2,2,3,0,4,46
172,2020-03-16,6:00 PM,Tamil Nadu,1,0,0,0,1,46
173,2020-03-16,6:00 PM,Telengana,3,0,1,0,3,46
174,2020-03-16,6:00 PM,Jammu and Kashmir,3,0,0,0,3,46
175,2020-03-16,6:00 PM,Ladakh,4,0,0,0,4,46
176,2020-03-16,6:00 PM,Uttar Pradesh,12,1,4,0,13,46
177,2020-03-16,6:00 PM,Uttarakhand,1,0,0,0,1,46
178,2020-03-17,6:00 PM,Andhra Pradesh,1,0,0,0,1,47
179,2020-03-17,6:00 PM,Delhi,8,0,2,1,8,47
180,2020-03-17,6:00 PM,Haryana,1,14,0,0,15,47
181,2020-03-17,6:00 PM,Karnataka,11,0,0,1,11,47
182,2020-03-17,6:00 PM,Kerala,24,2,3,0,26,47
183,2020-03-17,6:00 PM,Maharashtra,36,3,0,1,39,47
184,2020-03-17,6:00 PM,Odisha,1,0,0,0,1,47
185,2020-03-17,6:00 PM,Punjab,1,0,0,0,1,47
186,2020-03-17,6:00 PM,Rajasthan,2,2,3,0,4,47
187,2020-03-17,6:00 PM,Tamil Nadu,1,0,0,0,1,47
188,2020-03-17,6:00 PM,Telengana,3,2,1,0,5,47
189,2020-03-17,6:00 PM,Jammu and Kashmir,3,0,0,0,3,47
190,2020-03-17,6:00 PM,Ladakh,6,0,0,0,6,47
191,2020-03-17,6:00 PM,Uttar Pradesh,14,1,5,0,15,47
192,2020-03-17,6:00 PM,Uttarakhand,1,0,0,0,1,47
193,2020-03-18,6:00 PM,Andhra Pradesh,1,0,0,0,1,48
194,2020-03-18,6:00 PM,Delhi,9,1,2,1,10,48
195,2020-03-18,6:00 PM,Haryana,3,14,0,0,17,48
196,2020-03-18,6:00 PM,Karnataka,11,0,0,1,11,48
197,2020-03-18,6:00 PM,Kerala,25,2,3,0,27,48
198,2020-03-18,6:00 PM,Maharashtra,39,3,0,1,42,48
199,2020-03-18,6:00 PM,Odisha,1,0,0,0,1,48
200,2020-03-18,6:00 PM,Puducherry,1,0,0,0,1,48
201,2020-03-18,6:00 PM,Punjab,1,0,0,0,1,48
202,2020-03-18,6:00 PM,Rajasthan,2,2,3,0,4,48
203,2020-03-18,6:00 PM,Tamil Nadu,1,0,0,0,1,48
204,2020-03-18,6:00 PM,Telengana,4,2,1,0,6,48
205,2020-03-18,6:00 PM,Jammu and Kashmir,3,0,0,0,3,48
206,2020-03-18,6:00 PM,Ladakh,8,0,0,0,8,48
207,2020-03-18,6:00 PM,Uttar Pradesh,15,1,5,0,16,48
208,2020-03-18,6:00 PM,Uttarakhand,1,0,0,0,1,48
209,2020-03-18,6:00 PM,West Bengal,1,0,0,0,1,48
210,2020-03-19,6:00 PM,Andhra Pradesh,2,0,0,0,2,49
211,2020-03-19,6:00 PM,Chhattisgarh,1,0,0,0,1,49
212,2020-03-19,6:00 PM,Delhi,11,1,3,1,12,49
213,2020-03-19,6:00 PM,Haryana,3,14,0,0,17,49
214,2020-03-19,6:00 PM,Karnataka,14,0,0,1,14,49
215,2020-03-19,6:00 PM,Kerala,25,2,3,0,27,49
216,2020-03-19,6:00 PM,Maharashtra,44,3,0,1,47,49
217,2020-03-19,6:00 PM,Odisha,1,0,0,0,1,49
218,2020-03-19,6:00 PM,Puducherry,1,0,0,0,1,49
219,2020-03-19,6:00 PM,Punjab,2,0,0,1,2,49
220,2020-03-19,6:00 PM,Rajasthan,5,2,3,0,7,49
221,2020-03-19,6:00 PM,Tamil Nadu,2,0,1,0,2,49
222,2020-03-19,6:00 PM,Telengana,4,2,1,0,6,49
223,2020-03-19,6:00 PM,Chandigarh,1,0,0,0,1,49
224,2020-03-19,6:00 PM,Jammu and Kashmir,4,0,0,0,4,49
225,2020-03-19,6:00 PM,Ladakh,8,0,0,0,8,49
226,2020-03-19,6:00 PM,Uttar Pradesh,18,1,9,0,19,49
227,2020-03-19,6:00 PM,Uttarakhand,1,0,0,0,1,49
228,2020-03-19,6:00 PM,West Bengal,1,0,0,0,1,49
229,2020-03-20,6:00 PM,Andhra Pradesh,3,0,0,0,3,50
230,2020-03-20,6:00 PM,Chhattisgarh,1,0,0,0,1,50
231,2020-03-20,6:00 PM,Delhi,16,1,5,1,17,50
232,2020-03-20,6:00 PM,Gujarat,5,0,0,0,5,50
233,2020-03-20,6:00 PM,Haryana,3,14,0,0,17,50
234,2020-03-20,6:00 PM,Karnataka,15,0,1,1,15,50
235,2020-03-20,6:00 PM,Kerala,26,2,3,0,28,50
236,2020-03-20,6:00 PM,Maharashtra,49,3,0,1,52,50
237,2020-03-20,6:00 PM,Odisha,2,0,0,0,2,50
238,2020-03-20,6:00 PM,Puducherry,1,0,0,0,1,50
239,2020-03-20,6:00 PM,Punjab,2,0,0,1,2,50
240,2020-03-20,6:00 PM,Rajasthan,15,2,3,0,17,50
241,2020-03-20,6:00 PM,Tamil Nadu,3,0,1,0,3,50
242,2020-03-20,6:00 PM,Telengana,8,9,1,0,17,50
243,2020-03-20,6:00 PM,Chandigarh,1,0,0,0,1,50
244,2020-03-20,6:00 PM,Jammu and Kashmir,4,0,0,0,4,50
245,2020-03-20,6:00 PM,Ladakh,10,0,0,0,10,50
246,2020-03-20,6:00 PM,Uttar Pradesh,22,1,9,0,23,50
247,2020-03-20,6:00 PM,Uttarakhand,3,0,0,0,3,50
248,2020-03-20,6:00 PM,West Bengal,2,0,0,0,2,50
249,2020-03-21,6:00 PM,Andhra Pradesh,3,0,0,0,3,51
250,2020-03-21,6:00 PM,Chhattisgarh,1,0,0,0,1,51
251,2020-03-21,6:00 PM,Delhi,25,1,5,1,26,51
252,2020-03-21,6:00 PM,Gujarat,7,0,0,0,7,51
253,2020-03-21,6:00 PM,Haryana,3,14,0,0,17,51
254,2020-03-21,6:00 PM,Himachal Pradesh,2,0,0,0,2,51
255,2020-03-21,6:00 PM,Karnataka,15,0,1,1,15,51
256,2020-03-21,6:00 PM,Kerala,33,7,3,0,40,51
257,2020-03-21,6:00 PM,Madhya Pradesh,4,0,0,0,4,51
258,2020-03-21,6:00 PM,Maharashtra,60,3,0,1,63,51
259,2020-03-21,6:00 PM,Odisha,2,0,0,0,2,51
260,2020-03-21,6:00 PM,Puducherry,1,0,0,0,1,51
261,2020-03-21,6:00 PM,Punjab,13,0,0,1,13,51
262,2020-03-21,6:00 PM,Rajasthan,15,2,3,0,17,51
263,2020-03-21,6:00 PM,Tamil Nadu,3,0,1,0,3,51
264,2020-03-21,6:00 PM,Telengana,10,11,1,0,21,51
265,2020-03-21,6:00 PM,Chandigarh,1,0,0,0,1,51
266,2020-03-21,6:00 PM,Jammu and Kashmir,4,0,0,0,4,51
267,2020-03-21,6:00 PM,Ladakh,13,0,0,0,13,51
268,2020-03-21,6:00 PM,Uttar Pradesh,23,1,9,0,24,51
269,2020-03-21,6:00 PM,Uttarakhand,3,0,0,0,3,51
270,2020-03-21,6:00 PM,West Bengal,3,0,0,0,3,51
271,2020-03-22,6:00 PM,Andhra Pradesh,5,0,0,0,5,52
272,2020-03-22,6:00 PM,Bihar,2,0,0,1,2,52
273,2020-03-22,6:00 PM,Chhattisgarh,1,0,0,0,1,52
274,2020-03-22,6:00 PM,Delhi,28,1,5,1,29,52
275,2020-03-22,6:00 PM,Gujarat,18,0,0,1,18,52
276,2020-03-22,6:00 PM,Haryana,7,14,0,0,21,52
277,2020-03-22,6:00 PM,Himachal Pradesh,2,0,0,0,2,52
278,2020-03-22,6:00 PM,Karnataka,26,0,2,1,26,52
279,2020-03-22,6:00 PM,Kerala,45,7,3,0,52,52
280,2020-03-22,6:00 PM,Madhya Pradesh,4,0,0,0,4,52
281,2020-03-22,6:00 PM,Maharashtra,64,3,0,2,67,52
282,2020-03-22,6:00 PM,Odisha,2,0,0,0,2,52
283,2020-03-22,6:00 PM,Puducherry,1,0,0,0,1,52
284,2020-03-22,6:00 PM,Punjab,21,0,0,1,21,52
285,2020-03-22,6:00 PM,Rajasthan,22,2,3,0,24,52
286,2020-03-22,6:00 PM,Tamil Nadu,5,2,1,0,7,52
287,2020-03-22,6:00 PM,Telengana,11,11,1,0,22,52
288,2020-03-22,6:00 PM,Chandigarh,5,0,0,0,5,52
289,2020-03-22,6:00 PM,Jammu and Kashmir,4,0,0,0,4,52
290,2020-03-22,6:00 PM,Ladakh,13,0,0,0,13,52
291,2020-03-22,6:00 PM,Uttar Pradesh,26,1,9,0,27,52
292,2020-03-22,6:00 PM,Uttarakhand,3,0,0,0,3,52
293,2020-03-22,6:00 PM,West Bengal,4,0,0,0,4,52
294,2020-03-23,6:00 PM,Andhra Pradesh,7,0,0,0,7,53
295,2020-03-23,6:00 PM,Bihar,2,0,0,1,2,53
296,2020-03-23,6:00 PM,Chhattisgarh,1,0,0,0,1,53
297,2020-03-23,6:00 PM,Delhi,28,1,5,1,29,53
298,2020-03-23,6:00 PM,Gujarat,29,0,0,1,29,53
299,2020-03-23,6:00 PM,Haryana,12,14,0,0,26,53
300,2020-03-23,6:00 PM,Himachal Pradesh,2,0,0,0,2,53
301,2020-03-23,6:00 PM,Karnataka,33,0,2,1,33,53
302,2020-03-23,6:00 PM,Kerala,60,7,3,0,67,53
303,2020-03-23,6:00 PM,Madhya Pradesh,6,0,0,0,6,53
304,2020-03-23,6:00 PM,Maharashtra,71,3,0,2,74,53
305,2020-03-23,6:00 PM,Odisha,2,0,0,0,2,53
306,2020-03-23,6:00 PM,Puducherry,1,0,0,0,1,53
307,2020-03-23,6:00 PM,Punjab,21,0,0,1,21,53
308,2020-03-23,6:00 PM,Rajasthan,26,2,3,0,28,53
309,2020-03-23,6:00 PM,Tamil Nadu,7,2,1,0,9,53
310,2020-03-23,6:00 PM,Telengana,22,10,1,0,32,53
311,2020-03-23,6:00 PM,Chandigarh,6,0,0,0,6,53
312,2020-03-23,6:00 PM,Jammu and Kashmir,4,0,0,0,4,53
313,2020-03-23,6:00 PM,Ladakh,13,0,0,0,13,53
314,2020-03-23,6:00 PM,Uttar Pradesh,30,1,9,0,31,53
315,2020-03-23,6:00 PM,Uttarakhand,3,0,0,0,3,53
316,2020-03-23,6:00 PM,West Bengal,7,0,0,0,7,53
317,2020-03-24,6:00 PM,Andhra Pradesh,8,0,0,0,8,54
318,2020-03-24,6:00 PM,Bihar,3,0,0,1,3,54
319,2020-03-24,6:00 PM,Chhattisgarh,1,0,0,0,1,54
320,2020-03-24,6:00 PM,Delhi,29,1,6,1,30,54
321,2020-03-24,6:00 PM,Gujarat,32,1,0,1,33,54
322,2020-03-24,6:00 PM,Haryana,14,14,11,0,28,54
323,2020-03-24,6:00 PM,Himachal Pradesh,3,0,0,1,3,54
324,2020-03-24,6:00 PM,Karnataka,37,0,3,1,37,54
325,2020-03-24,6:00 PM,Kerala,87,8,4,0,95,54
326,2020-03-24,6:00 PM,Madhya Pradesh,7,0,0,0,7,54
327,2020-03-24,6:00 PM,Maharashtra,86,3,0,2,89,54
328,2020-03-24,6:00 PM,Manipur,1,0,0,0,1,54
329,2020-03-24,6:00 PM,Odisha,2,0,0,0,2,54
330,2020-03-24,6:00 PM,Puducherry,1,0,0,0,1,54
331,2020-03-24,6:00 PM,Punjab,29,0,0,1,29,54
332,2020-03-24,6:00 PM,Rajasthan,30,2,3,0,32,54
333,2020-03-24,6:00 PM,Tamil Nadu,13,2,1,0,15,54
334,2020-03-24,6:00 PM,Telengana,25,10,1,0,35,54
335,2020-03-24,6:00 PM,Chandigarh,7,0,0,0,7,54
336,2020-03-24,6:00 PM,Jammu and Kashmir,4,0,0,0,4,54
337,2020-03-24,6:00 PM,Ladakh,13,0,0,0,13,54
338,2020-03-24,6:00 PM,Uttar Pradesh,32,1,11,0,33,54
339,2020-03-24,6:00 PM,Uttarakhand,3,1,0,0,4,54
340,2020-03-24,6:00 PM,West Bengal,9,0,0,1,9,54
341,2020-03-25,6:00 PM,Andhra Pradesh,9,0,1,0,9,55
342,2020-03-25,6:00 PM,Bihar,4,0,0,1,4,55
343,2020-03-25,6:00 PM,Chhattisgarh,1,0,0,0,1,55
344,2020-03-25,6:00 PM,Delhi,30,1,6,1,31,55
345,2020-03-25,6:00 PM,Gujarat,37,1,0,1,38,55
346,2020-03-25,6:00 PM,Haryana,14,14,11,0,28,55
347,2020-03-25,6:00 PM,Himachal Pradesh,3,0,0,1,3,55
348,2020-03-25,6:00 PM,Karnataka,41,0,3,1,41,55
349,2020-03-25,6:00 PM,Kerala,101,8,4,0,109,55
350,2020-03-25,6:00 PM,Madhya Pradesh,14,0,0,0,14,55
351,2020-03-25,6:00 PM,Maharashtra,125,3,1,3,128,55
352,2020-03-25,6:00 PM,Manipur,1,0,0,0,1,55
353,2020-03-25,6:00 PM,Mizoram,1,0,0,0,1,55
354,2020-03-25,6:00 PM,Odisha,2,0,0,0,2,55
355,2020-03-25,6:00 PM,Puducherry,1,0,0,0,1,55
356,2020-03-25,6:00 PM,Punjab,29,0,0,1,29,55
357,2020-03-25,6:00 PM,Rajasthan,34,2,3,0,36,55
358,2020-03-25,6:00 PM,Tamil Nadu,16,2,1,0,18,55
359,2020-03-25,6:00 PM,Telengana,25,10,1,0,35,55
360,2020-03-25,6:00 PM,Chandigarh,7,0,0,0,7,55
361,2020-03-25,6:00 PM,Jammu and Kashmir,7,0,1,0,7,55
362,2020-03-25,6:00 PM,Ladakh,13,0,0,0,13,55
363,2020-03-25,6:00 PM,Uttar Pradesh,36,1,11,0,37,55
364,2020-03-25,6:00 PM,Uttarakhand,3,1,0,0,4,55
365,2020-03-25,6:00 PM,West Bengal,9,0,0,1,9,55
366,2020-03-26,6:00 PM,Andaman and Nicobar Islands,1,0,0,0,1,56
367,2020-03-26,6:00 PM,Andhra Pradesh,11,0,1,0,11,56
368,2020-03-26,6:00 PM,Bihar,6,0,0,1,6,56
369,2020-03-26,6:00 PM,Chandigarh,7,0,0,0,7,56
370,2020-03-26,6:00 PM,Chhattisgarh,6,0,0,0,6,56
371,2020-03-26,6:00 PM,Delhi,35,1,6,1,36,56
372,2020-03-26,6:00 PM,Goa,3,0,0,0,3,56
373,2020-03-26,6:00 PM,Gujarat,42,1,0,3,43,56
374,2020-03-26,6:00 PM,Haryana,16,14,11,0,30,56
375,2020-03-26,6:00 PM,Himachal Pradesh,3,0,0,1,3,56
376,2020-03-26,6:00 PM,Jammu and Kashmir,13,0,1,0,13,56
377,2020-03-26,6:00 PM,Karnataka,55,0,3,2,55,56
378,2020-03-26,6:00 PM,Kerala,110,8,6,0,118,56
379,2020-03-26,6:00 PM,Ladakh,13,0,0,0,13,56
380,2020-03-26,6:00 PM,Madhya Pradesh,20,0,0,1,20,56
381,2020-03-26,6:00 PM,Maharashtra,121,3,1,3,124,56
382,2020-03-26,6:00 PM,Manipur,1,0,0,0,1,56
383,2020-03-26,6:00 PM,Mizoram,1,0,0,0,1,56
384,2020-03-26,6:00 PM,Odisha,2,0,0,0,2,56
385,2020-03-26,6:00 PM,Puducherry,1,0,0,0,1,56
386,2020-03-26,6:00 PM,Punjab,33,0,0,1,33,56
387,2020-03-26,6:00 PM,Rajasthan,39,2,3,0,41,56
388,2020-03-26,6:00 PM,Tamil Nadu,20,6,1,1,26,56
389,2020-03-26,6:00 PM,Telengana,34,10,1,0,44,56
390,2020-03-26,6:00 PM,Uttarakhand,4,1,0,0,5,56
391,2020-03-26,6:00 PM,Uttar Pradesh,40,1,11,0,41,56
392,2020-03-26,6:00 PM,West Bengal,10,0,0,1,10,56
393,2020-03-27,10:00 AM,Andaman and Nicobar Islands,1,0,0,0,1,57
394,2020-03-27,10:00 AM,Andhra Pradesh,12,0,1,0,12,57
395,2020-03-27,10:00 AM,Bihar,6,0,0,1,6,57
396,2020-03-27,10:00 AM,Chandigarh,7,0,0,0,7,57
397,2020-03-27,10:00 AM,Chhattisgarh,6,0,0,0,6,57
398,2020-03-27,10:00 AM,Delhi,35,1,6,1,36,57
399,2020-03-27,10:00 AM,Goa,3,0,0,0,3,57
