Date,Day,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
2020-08-16,199,-----------------------------------,-----------------------------------,1862258,49980,2589682
2020-08-17,200,-----------------------------------,-----------------------------------,1919842,50921,2647663
2020-08-18,201,-----------------------------------,-----------------------------------,1977779,51797,2702742
2020-08-19,202,-----------------------------------,-----------------------------------,2037870,52889,2767273
2020-08-20,203,-----------------------------------,-----------------------------------,2096664,53866,2836925
2020-08-21,204,-----------------------------------,-----------------------------------,2158946,54849,2905823
2020-08-22,205,-----------------------------------,-----------------------------------,2222577,55794,2975701
2020-08-23,206,-----------------------------------,-----------------------------------,2280566,56706,3044940
2020-08-24,207,-----------------------------------,-----------------------------------,2338035,57542,3106348
2020-08-25,208,-----------------------------------,-----------------------------------,2404585,58390,3167323
2020-08-26,209,-----------------------------------,-----------------------------------,2467758,59449,3234474
2020-08-27,210,-----------------------------------,-----------------------------------,2523771,60472,3310234
2020-08-28,211,-----------------------------------,-----------------------------------,2583948,61529,3387500
2020-08-29,212,-----------------------------------,-----------------------------------,2648998,62550,3463972
